id,name,description,type
Desc_Cement_C,Concrete,Used for building.\r\nGood for stable foundations.,RF_SOLID
Desc_IronPlate_C,Iron Plate,Used for crafting.\r\nOne of the most basic parts.,RF_SOLID
Desc_IronRod_C,Iron Rod,Used for crafting.\r\nOne of the most basic parts.,RF_SOLID
Desc_CrystalShard_C,Power Shard,Mucus from the power slugs compressed into a solid crystal-like shard. \r\nIt radiates a strange power.,RF_SOLID
Desc_Fuel_C,Packaged Fuel,"Fuel.\r\nPackaged Fuel, either converted into electricity or as fuel for vehicles.",RF_SOLID
Desc_HazmatFilter_C,Iodine Infused Filter,Used in hazmat suits to filter out radioactive particles in the air.,RF_SOLID
Desc_SpikedRebar_C,Spiked Rebar,Ammo for the Rebar Gun.,RF_SOLID
Desc_CartridgeStandard_C,Cartridge,Ammo for the Rifle.,RF_SOLID
Desc_HUBParts_C,HUB Parts,The parts required to build the basic structure of the HUB.,RF_SOLID
Desc_Wire_C,Wire,Used for crafting.\r\nOne of the most basic parts.,RF_SOLID
Desc_Filter_C,Filter,Used in gas masks to filter out pollutants in the air.,RF_SOLID
Desc_Cable_C,Cable,Used for crafting.\r\nPrimarily used to build power lines.,RF_SOLID
Desc_IronPlateReinforced_C,Reinforced Iron Plate,Used for crafting.\r\nA sturdier and more durable Iron Plate.,RF_SOLID
Desc_CopperIngot_C,Copper Ingot,Used for crafting.\r\nCrafted into the most basic parts.,RF_SOLID
Desc_IronScrew_C,Screw,Used for crafting.\r\nOne of the most basic parts.,RF_SOLID
Desc_SpaceElevatorPart_1_C,Smart Plating,Project Part #1. Send up the Space Elevator to complete phases of Project Assembly.,RF_SOLID
Desc_SpaceElevatorPart_2_C,Versatile Framework,Project Part #2. Send up the Space Elevator to complete phases of Project Assembly.,RF_SOLID
Desc_SpaceElevatorPart_3_C,Automated Wiring,Project Part #3. Send up the Space Elevator to complete phases of Project Assembly.,RF_SOLID
Desc_SpaceElevatorPart_4_C,Modular Engine,Project Part #4. Send up the Space Elevator to complete phases of Project Assembly.,RF_SOLID
Desc_SpaceElevatorPart_5_C,Adaptive Control Unit,Project Part #5. Send up the Space Elevator to complete phases of Project Assembly.,RF_SOLID
Desc_IronIngot_C,Iron Ingot,Used for crafting.\r\nCrafted into the most basic parts.,RF_SOLID
Desc_AluminumPlate_C,Alclad Aluminum Sheet,Thin lightweight & highly durable sheet that is mainly used for products that need to be light or have high heat conduction.,RF_SOLID
Desc_Motor_C,Motor,The Motor creates a mechanical force that is used to move things from machines to vehicles.,RF_SOLID
Desc_Rubber_C,Rubber,Rubber is a material that is very flexible and has a lot of friction.,RF_SOLID
Desc_CircuitBoard_C,Circuit Board,Circuit Boards are advanced electronics that are used in a plethora of different ways.,RF_SOLID
Desc_CopperSheet_C,Copper Sheet,Used for crafting.\r\nPrimarily used for pipelines due to its high corrosion resistance.,RF_SOLID
Desc_Plastic_C,Plastic,A versatile and easy to manufacture material that can be used for a lot of things.,RF_SOLID
Desc_SteelPlateReinforced_C,Encased Industrial Beam,Encased Industrial Beams utilizes the compressive strength of concrete and tensile strength of steel simultaneously.\r\nMostly used as a stable basis for constructing buildings.,RF_SOLID
Desc_SteelPipe_C,Steel Pipe,Steel Pipes are used most often when constructing a little more advanced buildings.,RF_SOLID
Desc_LiquidFuel_C,Fuel,Fuel is either converted into electricity or as fuel for vehicles.,RF_LIQUID
Desc_PolymerResin_C,Polymer Resin,Used for crafting.\r\nA by-product of oil refinement into fuel. Commonly used to manufacture plastics.,RF_SOLID
Desc_HeavyOilResidue_C,Heavy Oil Residue,A by-product of Plastic and Rubber production. Can be further refined into Fuel and Petroleum Coke.,RF_LIQUID
Desc_PetroleumCoke_C,Petroleum Coke,Used for crafting.\r\nA carbon-rich material distilled from Heavy Oil Residue. \r\nUsed as a less efficient coal replacement or for aluminum refinement.,RF_SOLID
Desc_ModularFrame_C,Modular Frame,Used for crafting.\r\nMulti-purpose building block.,RF_SOLID
Desc_Rotor_C,Rotor,Used for crafting.\r\nThe moving parts of a motor.,RF_SOLID
